#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
151,Botswana,739,,2,,63,674,1,314,0.8,66744,28343,2354906
,,721,,15,,651,55,4,,,,,
152,Diamond Princess,712,,13,,651,48,4,,,,,
153,Malta,708,,9,,665,34,,1603,20,122348,277035,441634
154,San Marino,699,,42,,657,0,,20597,1238,5729,168813,33937
155,Syria,694,,40,,220,434,,40,2,,,17529116
156,Réunion,657,,4,,592,61,4,733,4,35419,39539,895795
157,Channel Islands,587,,47,,533,7,,3374,270,30721,176576,173982
158,Tanzania,509,,21,,183,305,7,9,0.4,,,59844377
159,Lesotho,505,,12,,128,365,,236,6,7463,3482,2143526
160,Taiwan,467,,7,,441,19,,20,0.3,81167,3407,23820142
161,Bahamas,447,,11,,91,345,1,1136,28,4106,10434,393523
162,Vietnam,446,,,,369,77,,5,,275000,2823,97403956
163,Guyana,396,,20,,181,195,4,503,25,4478,5691,786843
164,Burundi,378,,1,,301,76,,32,0.08,13573,1139,11913469
165,Comoros,354,,7,,328,19,,406,8,,,870870
166,Myanmar,351,1,6,,293,52,,6,0.1,112381,2064,54437434
167,Mauritius,344,,10,,332,2,,270,8,205285,161396,1271933
168,Isle of Man,336,,24,,312,0,,3950,282,8081,94996,85067
169,Gambia,326,,8,,66,252,,135,3,4515,1865,2421078
170,Mongolia,291,2,,,225,66,4,89,,34708,10575,3282045
171,Martinique,269,,15,,98,156,4,717,40,12227,32584,375242
172,Eritrea,265,,,,191,74,,75,,,,3549968
173,Cambodia,226,,,,147,79,1,14,,60029,3587,16735684
174,Faeroe Islands,220,,,,188,32,2,4501,,36125,739100,48877
175,Guadeloupe,203,,14,,176,13,3,507,35,15235,38075,400129
176,Cayman Islands,203,,1,,202,0,,3086,15,29466,447955,65779
177,Gibraltar,186,,,,180,6,,5521,,20142,597863,33690
178,Bermuda,156,,9,,141,6,,2506,145,20962,336690,62259
179,Trinidad and Tobago,153,,8,,128,17,,109,6,6801,4858,1399839
180,Brunei,141,,3,,138,0,,322,7,37058,84648,437791
181,Aruba,119,,3,,102,14,,1114,28,10768,100823,106801
182,Monaco,117,,4,,104,9,,2980,102,38209,973155,39263
183,Sint Maarten,114,,15,,63,36,,2657,350,634,14774,42912
184,Seychelles,114,,,,39,75,,1159,,,,98393
185,Barbados,110,,7,,94,9,,383,24,10641,37025,287403
186,Turks and Caicos,99,,2,,37,60,1,2555,52,1125,29029,38755
187,Bhutan,99,,,,86,13,,128,,42090,54504,772234
188,Liechtenstein,87,,1,,81,5,,2281,26,900,23600,38136
189,Antigua and Barbuda,86,,3,,65,18,1,878,31,1237,12624,97990
190,Papua New Guinea,63,,,,11,52,,7,,10000,1116,8958835
191,French Polynesia,62,,,,60,2,,221,,4649,16543,281032
192,St. Vincent Grenadines,52,,,,39,13,,469,,1866,16816,110967
193,Saint Martin,49,,3,,41,5,1,1266,77,1080,27898,38713
194,Belize,48,,2,,27,19,,121,5,3251,8166,398134
195,Macao,46,,,,46,0,,71,,4071,6263,649976
196,Curaçao,29,,1,,24,4,,177,6,1080,6580,164145
197,Fiji,27,,,,18,9,,30,,4000,4460,896935
198,Saint Lucia,24,,,,22,2,,131,,2968,16158,183691
199,Timor-Leste,24,,,,24,0,,18,,1568,1188,1320194
200,Grenada,23,,,,23,0,,204,,5465,48551,112563
201,New Caledonia,22,,,,22,0,,77,,10186,35653,285702
202,Laos,20,,,,19,1,,3,,26737,3671,7283153
203,Dominica,18,,,,18,0,,250,,1005,13958,72000
204,Saint Kitts and Nevis,17,,,,15,2,,319,,1006,18900,53227
205,Greenland,14,,,,13,1,,247,,5784,101870,56778
206,Falkland Islands,13,,,,13,0,,3728,,1816,520792,3487
207,Montserrat,12,,1,,10,1,,2404,200,61,12220,4992
208,Vatican City,12,,,,12,0,,14981,,,,801
209,Caribbean Netherlands,11,,,,7,4,,419,,424,16158,26241
210,Western Sahara,10,,1,,8,1,,17,2,,,598320
211,MS Zaandam,9,,2,,,7,,,,,,
212,British Virgin Islands,8,,1,,7,0,,264,33,439,14514,30246
213,St. Barth,7,,,,6,1,,709,,1246,126126,9879
214,Saint Pierre Miquelon,4,,,,1,3,,691,,,,5792
215,Anguilla,3,,,,3,0,,200,,380,25311,15013
,Total:,5278774,8355,212597,936,"2,680,277","2,385,900",26194,,,,,
,Total:,3856744,1146,137361,73,"2,610,828","1,108,555",14270,,,,,
,Total:,4063830,16311,92942,220,"2,952,299","1,018,589",19697,,,,,
,Total:,2822681,7514,202287,220,"1,699,267","921,127",5128,,,,,
,Total:,877651,58,18542,2,"527,986","331,123",1124,,,,,
,Total:,17313,278,198,9,"11,056","6,059",46,,,,,
,Total:,721,,15,,651,55,4,,,,,
,Total:,16917714,33662,663942,1460,"10,482,364","5,771,408",66463,2170,85.2,,,
